text,emotion_label
Me: Bale cute ga unnav ani,happy
Crush: Midha cheyi vesav ante princi complaint chestha,happy
My crush with me: Entra ala chusthunav?,happy
Me: Vaadu ante evadiki bhayam ledhu ikkada ,happy
Me: Nee buggalu gillestha,happy
My frnd: Vammooo aah smell entraaa kadupulo thippesthundhi,disgust
Me when i open my unwashed lunch box after one week ,disgust
ela aina vadataru mavollu,angry
Inspector: Neeku teliyadha? sarigga chudu,surprised
Me: Emoo sir neneppudu chudaledhu,surprised
Me: Usshhhh irikinchesadu edhava,surprised
Inspector: Next photo lo vaadi pakkana nuvve unnav!,surprised
Me after seeing my friend photo who tried for inspector daughter: Evaru sir veedu?,surprised
gunta manchi pongu meeda undi,happy
Maths Sir: Entraa nuvvu naa kanna thopaa,surprised
After checking: Meeku maths vaccho raadho test chesaa. Good,surprised
"My friend to maths teacher:Sir, ee step thappu",surprised
friend: natho ekkada unnai mama..,happy
me: arey money appudu esthav,happy
Waiter: Sir idhigondi coffe,neutral
Me: Saucer edhi?,neutral
Me: Poni nuvvu techedaka Olympic jyothi pattukunnattuu ila pattukona? ,neutral
Em ledu bro commited ayyi single ani status pedutunadu ante..,angry
when teacher asks to only two for bench my friends be like: nuv pora ,neutral
"Peon: Enti Sir, Kallalo ulli paya padindhaa",neutral
Hero: Ledhu raa Future gurthuku vacchindi,neutral
Me: Were u born beautiful or grown up to be beautiful?,heroism
My crush: Abbaaa emanna pulihora kaluputhunava ,heroism
"nakem telusu bayya, nenu adiga ivvaledu",surprised
rey na book kanipinchadam ledu ,surprised
veede kottesi ela natisthunnado chudu,surprised
pyaj dalo ,disgust
konchem eyyi bayya,disgust
inkoncham eyyi bayya ,disgust
nuv icche 10 rupayilaku inkenta pyaj eyyal ra niku,disgust
rules teliyavemo ,surprised
telisina patinchedemo,surprised
Anthakarna sudhithoooo,heroism
"inka daridranaga ayyana, leda bagu paddana",neutral
"nuv maripoyav, appatla levu",neutral
rey cheppa ka ra single single ani ammayilatho tirugutuntadu veede ra vadu ,fearful
Me when someone calls me with my nickname in clg,angry
naku telugu lo nachani oke okka padam ,angry
bandoda,angry
me: Infront of my boys,surprised
me: Infront of my gf,surprised
Her: Ippudu vellana?,heroism
Me: Kasepu undochugaa,heroism
Me: Undipovachugaaa ,heroism
"Ila chepthunnapudu, cheppey neeku, viney vallaki entha kikku raa",neutral
