emotion_label,processed_text,encoded_label
happy,me: bale cute ga unnav ani,0
happy,crush: midha cheyi vesav ante princi complaint chestha,0
happy,my crush with me: entra ala chusthunav?,0
happy,me: vaadu ante evadiki bhayam ledhu ikkada ,0
happy,me: nee buggalu gillestha,0
disgust,my frnd: vammooo aah smell entraaa kadupulo thippesthundhi,1
disgust,me when i open my unwashed lunch box after one week ,1
angry,ela aina vadataru mavollu,2
surprised,inspector: neeku teliyadha? sarigga chudu,3
surprised,me: emoo sir neneppudu chudaledhu,3
surprised,me: usshhhh irikinchesadu edhava,3
surprised,inspector: next photo lo vaadi pakkana nuvve unnav!,3
surprised,me after seeing my friend photo who tried for inspector daughter: evaru sir veedu?,3
happy,gunta manchi pongu meeda undi,0
surprised,maths sir: entraa nuvvu naa kanna thopaa,3
surprised,after checking: meeku maths vaccho raadho test chesaa. good,3
surprised,"my friend to maths teacher:sir, ee step thappu",3
happy,friend: natho ekkada unnai mama..,0
happy,me: arey money appudu esthav,0
neutral,waiter: sir idhigondi coffe,4
neutral,me: saucer edhi?,4
neutral,me: poni nuvvu techedaka olympic jyothi pattukunnattuu ila pattukona? ,4
angry,em ledu bro commited ayyi single ani status pedutunadu ante..,2
neutral,when teacher asks to only two for bench my friends be like: nuv pora ,4
neutral,"peon: enti sir, kallalo ulli paya padindhaa",4
neutral,hero: ledhu raa future gurthuku vacchindi,4
heroism,me: were u born beautiful or grown up to be beautiful?,5
heroism,my crush: abbaaa emanna pulihora kaluputhunava ,5
surprised,"nakem telusu bayya, nenu adiga ivvaledu",3
surprised,rey na book kanipinchadam ledu ,3
surprised,veede kottesi ela natisthunnado chudu,3
disgust,pyaj dalo ,1
disgust,konchem eyyi bayya,1
disgust,inkoncham eyyi bayya ,1
disgust,nuv icche 10 rupayilaku inkenta pyaj eyyal ra niku,1
surprised,rules teliyavemo ,3
surprised,telisina patinchedemo,3
heroism,anthakarna sudhithoooo,5
neutral,"inka daridranaga ayyana, leda bagu paddana",4
neutral,"nuv maripoyav, appatla levu",4
fearful,rey cheppa ka ra single single ani ammayilatho tirugutuntadu veede ra vadu ,6
angry,me when someone calls me with my nickname in clg,2
angry,naku telugu lo nachani oke okka padam ,2
angry,bandoda,2
surprised,me: infront of my boys,3
surprised,me: infront of my gf,3
heroism,her: ippudu vellana?,5
heroism,me: kasepu undochugaa,5
heroism,me: undipovachugaaa ,5
neutral,"ila chepthunnapudu, cheppey neeku, viney vallaki entha kikku raa",4
neutral,"hero: rey aajamu, repu nee pelli ela jarigindhi ante, abbo car lu, sumo lu, chasing lu, attacking lu, bullet lu",4
heroism,most heroism scene in the film,5
angry,eraa chitti naidu,2
angry,pandhi laa thintav raa banda edhava ,2
heroism,"ninnu choodatledhani pulpekki pothunnavanta gaa, andukey ninnu choodadaniki ",5
heroism,andukey ninnu choodadaniki 1000/- teeskunna,5
angry,my friends looking at me after i came back from detonation: excuse me mam,2
disgust,me killing my nammaka drohi friend,1
angry,me: urgent ga ochi nannu teeskellipo mummy. phn kosam kottukuntunaru mummy.,2
angry,me calling my mom from hostel phone: mummy ikkada naa valla ayithaledhu mummy ,2
angry,"please, kindly listen to me ",2
happy,kani em undadhu dolle,0
happy,vadini chusava entha unnado,0
wonder,someone: me class lo pedda pulihora gadu avaru,7
wonder,my friend: nenu nenu,7
confused,me after seeing coding for the first time,8
disgust,dad to me: siggu undaliraaa pandhi laaga madhyanm 12 daka padukuntunav ,1
neutral,"chatgpt: nuvvu chatgpt use cheyyali anukunte, nalaki $20 pay chesi use chey. lekhapothey maaney",4
neutral,users: husssh,4
heroism,fights between 2 brothers in house,5
neutral,client:,4
neutral,fresh muthyam: sir super meru super sir salute sir meeku,4
neutral,client: chudu entha simple ga ipoendo pani,4
neutral,manager to emp: vadiki nuvu chepindi nachadu...vadiki nachindi vachinde kavali,4
surprised,my sister with siggu: avnu nanna garu ene ,3
surprised,dad: abbaaa! coffee adbuthamga undhi nuvvena peetindhiii!,3
angry,me with my relatives: maa nanna ki lenipoyina salahalu ichi meeru ila nannu rechakottakandi,2
angry,rechakodithe meeru thine food lo cynaide kalipestha,2
confused,my frnd: meeru maaripoyaru saaar meeru maaripoyaruu,8
confused,my frnd who saw me while going to gym,8
neutral,arey monna mi intki vachindhi ga aa ammay ni set chey ra ,4
neutral,"aa ammayi atlantidhi kadu ra, paddati kala family ra valladhi ",4
neutral,ey cheste chesta ani cheppu biography deniki  ,4
disgust,when squad find me with slips in front of girls,1
disgust,my expression: ,1
wonder,baagunnava baabu,7
wonder,"meeru nannu baagunnava ante, meeru naa baabai.
devudicchina babai",7
neutral,anthey kadharaa,4
neutral,me playing with chalk pieces and chalk piece powder in childhood be like:,4
happy,my friend doing work after listening to motivation video (only for 5 min),0
neutral,me with my mom after going from office: office lu ivanni kastam mummy,4
neutral,physical ga mental ga stressuu!,4
surprised,"already fail ayina me: endhuku daddy ala fix, eesariki vadhileyochuga",3
sad,me explaining my kastalu to my family during job search,9
happy,dad: eraa idharu annii subjects pass ayyara?,0
happy,mee with 2 backlogs: annitilo a grade ochindhi nanna garu,0
happy,my brother: adenti anna neeku rendu backlogs paddayigaaa,0
surprised,me after visiting pub for the first time ,3
confused,my frnd: kottestha mowa esarii,8
confused,me: nuvvu kottagalav mowa kottuuuu,8
confused,me: veedu enti joke chesthe serious ga teesukunnadu. ,8
angry,inko sari aa topic tesuku ramaku,2
angry,i love you arjun lets marry,2
angry,"eyy nenu niku munde cheppina, ee love givu set kavu, just friends with benifits ani anukunnam ga ",2
fearful,from same class: ninna teskuna duster kosam vachadu...cr from section d,6
fearful,someone from other class: evdra nuvu em kavali,6
wonder,me after two pegs,7
neutral,"when music director get any tune, his reacton: rey record chey, record chey",4
confused,my dad after drinking: edhi aah yedhavaniii piluvu ,8
neutral,"hero: vadina ikkada, manalani king laa choosthunnaru",4
neutral,brahmi: bongem kaadhu,4
heroism,most powerful heroism scene in this movie,5
angry,vardanti ante entra ,2
angry,vardanti ante birthday kadu ra dinam ra dinam,2
angry,birthday ne ga,2
sad,"vadu vellodu ani cheppina vinka kunda, movie chudadaniki velladu",9
sad,ui movie,9
angry,me trying to explain my mom that naa thappu em ledhu mummuyyyy,2
neutral,boli magane cup alli idu,4
sad,me with my frnd: antheleraaa kotha frnds ocharu anii maatho matladatam apesav!!,9
surprised,me: nenu lekapothe ayipoyevalloo meeru,3
surprised,my frnd1: nuvvu lekapothe konchem ayina baagupadevallam mowaaa,3
surprised,me: rey mowaaa,3
surprised,frnd2: correct aee mowaaa,3
angry,aunties: make up esta randi,2
wonder,picchi kotadam ante ila kottali,7
angry,"me: ammo, naa marks nanna choosthey, ivala belt virigipoddhemo",2
angry,"my dad in childhood: era, exams papers iccharanata, teesukuni raa. and adhey chettho naa belt kooda teesukuni raa",2
happy,my friend on every exam morning,0
confused,"enti, roju laaney undhi. kaani boku friend maaruthundhi ani cheppadu",8
confused,"me on january 2nd,",8
neutral,nuv marava inka,4
surprised,mom: ayyooo sweat thuduchukoo nannaaa,3
fearful,me and my friends watching girls dance practice on annual day/fest,6
fearful,"ammo, vaddhu raa baabu, valla kanna neny baaga dance chesthaa",6
confused,me: em kavali cheppu ndhuku ee sodhi antha,8
confused,my frnd: ee shirt lo hero laa unnav mowaa,8
heroism,cinemaloki vellipooo shivaji nuvvu !,5
heroism,me taking pictures of my sister: abbaaa heroine akka nuvvu,5
happy,me: birthday party undi money evvu nanna,0
happy,nanna: mundhu nuv aa lakshmi wines degariki velladam stop chey ra lambdi kodaka,0
surprised,junior: evarakka nuvv?,3
surprised,my bestie: college lo most beautiful girl nene,3
surprised,"telivaina vaadu eppudu, nenu telivi kalla vadini ani cheppukodu",3
surprised,cheppu kovali bro,3
surprised,tage cigarette midhe nannu tagodhu potharu ani unte mari nenu enduku cheppuko kudadhu,3
happy,meeru permission isthe ala frnds tho bayataki veltha,0
happy,mom: chusara andi mana vaadu,0
happy,kamalhassan me in home: amma garu and nanna garu,0
happy,ela unnaru,0
happy,tatha miru enti ekkada,0
happy,era manawada,0
neutral,me after seeing junior girls in our campus: abbaaa mmauluga lerugaaa,4
neutral,my friend: avnu raa mowaa mamuluga leru,4
happy,me with my teammates: rey aravakandiraaaa,0
happy,ippatike rpoject konchem kooda chyeale ,0
surprised,my friend after seeing my childhood photo in home: dorakadraa veedu deenini photo teesukuni veeditho aadukundham class group lo petti,3
neutral,principle ni black mail chesi,4
neutral,"naaku maths sums, raavu. kaani nenu one of the best maths teacher ela ayyano telusaa",4
confused,me giving speech during seminar,8
confused,my frnds: rey vaadini kindhaki pampeyandi vinaleka chasthunam ,8
disgust,"miru avunu anna kadanna, ee ammayine pelli chesunta",1
disgust,"evaru emanu kunna, ee pilla talli naku nachindhi",1
disgust,patha sweety podham,1
surprised,me with my frnds after cmng from oyo with sigguuu: first time mowaaa. nannu em adagakandi,3
heroism,my female friend: maa aayana baa irritate chesthunadu,5
heroism,me: manam set ayipodham vadini esesiiii!!,5
heroism,me: cheppu sardahdga esedhama?,5
wonder,manam kuda ivi icchi pardobbudham mandem poyindhi,7
wonder,prathivodu edo okati istunnadu,7
heroism,me explaining my love story to my juniors ,5
neutral,me: adhi evadanna food antada thinte potharu janalu,4
neutral,wife: emandi food ela undhi?,4
surprised,"call me brahmi, software engineer",3
surprised,"uncle entra, uncle!!",3
surprised,when a boy call me uncle,3
angry,"maths teacher: nahi, dhekongey my maths knowledge",2
angry,"maths sir wife: main khaamiyon par jaoonga, aap kaksha kahate hain",2
happy,me with my juniors who joined recently,0
happy,meeku undhiraa me future naaku ardhamayipoyindhiii!,0
disgust,me: chaduvukuni bagupadandiraa naa laaga,1
disgust,my frnd: nee laaana or baagupadala?,1
surprised,kani baadha padaku ,3
surprised,nenu kuda fail ayya,3
surprised,mawa nuvvu fail ayyav ra ,3
wonder,me every time i see my girl in traditional,7
neutral,scenarios of lovers at park,4
neutral,ee hostel ki vacchinappudu ila undevadini bro ,4
neutral,chudu ippudu ela ayyano ,4
neutral,judges be like: anavarsam gaa ee ammayini select chesaanu,4
neutral,"in padutha teeyaga, when a girl sang in worst way",4
surprised,ninnu pika pisiki chamapeyali ,3
surprised,annantha kopam vastundhe,3
surprised,nuvvu pette torcher ki ,3
angry,me: chalu.....eka chalu,2
disgust,frnd 1: ivela night ki sitting vesthunam,1
disgust,frnd1: ekkuva chesav ante bottle lo kodatham,1
disgust,me: naaku alantivi istam ledhu rrom ki raakandi meeru,1
disgust,frnd 2: nuvvu muskuni nee bed meedha kurchooo,1
heroism,me with my juniors ,5
heroism,pillaluraaa meeru!,5
surprised,my sister listening to my song: abba entha baa paadav raa daridrangaaa ,3
heroism,me in college fights ,5
wonder,oo meme cheppu ,7
wonder,kinda mida oopu ci garu thopu,7
confused,my frnd: veedenti intha feel ayipothunadu,8
confused,when my frnd served me biryani: ndhukuraa mowa nenante intha fremaa neeku,8
confused,adhi mmonna migilipoyina biryani ani telisthe emayipothadooo entooo,8
neutral,nenu unna mama paduko,4
angry,"my friend who cancels the trip: vaadiki kaadhu, mundu veediki laga dhenghey",2
heroism,my married frnd: eyyy same to same nenu ilane anna,5
heroism,me before marriage: nenu ne lekka kadhu naa pellam ni control cheyatam masth ochuu,5
fearful,"me after seeing mbbs 1st year books:
devuda",6
angry,na koduka agura nuvvu,2
angry,niku eeroju moodindhi,2
neutral,some took piracy of pushpa -2 ,4
neutral,tondarga rara,4
neutral,when you get urgent washroom but some is in already: rey ra ra,4
neutral,arey ra ra twaraga ,4
neutral,vidu washroom poyada leda kannam pettadaniki poyada,4
heroism,my friend: ne kosam wait chesthund ra vaadu...oka chance vasthe ne moham pogalakodam ani jagratha undalsindi vadu kadu nuvu,5
heroism,senior: ekkada ra ne friend vadiki chepu college vadili vellipo ani,5
neutral,when you force ur friend to propose: arey naku bayam aithundi ra,4
neutral,ur friend: bayam aithundi,4
neutral,me: wow what a cute fellow..vellara propose chey,4
neutral,me: em aithundi nanna...,4
fearful,malli vastunnadra ikkadiki,6
fearful,chey vidini em chesina,6
happy,me and my friend meeting after a long time,0
neutral,"me: naaku marks takkuva vacchayi ani principle,nannu hostel nunchi pampinchesaaru",4
neutral,"me: joke chesaa,
joke haa bonga nijanganey pampinchesaaru",4
heroism,mee vaadiki tuition fees 400 rupees,5
heroism,"in childhood, tuition sir",5
heroism,oh same same ,5
heroism,"hi, my name is raj im ceo of hope",5
heroism,i'm also ceo,5
heroism,in pubg playing 1v1 with that pro player everyone talks about,5
heroism,me: vadiki pubg enduku download chesa anipinchela chesa,5
neutral,his vadina: pettaka pothey,4
neutral,"hero: snanam cheyyakundney velthaaru. 
intlo em ayyindhi andariki",4
neutral,"hero: vadina, urgent gaa hot water pettu, prasad gaaru snanam chesi, bayataki velthaaru",4
surprised,"heee, hee, heeey",3
surprised,"eedo dhoni, edidhi o teamuu",3
surprised,my other friend: entra ala antav pillodu antha cute gaa aah shirt lo,3
surprised,my friend: jathara entra it's branded 5k shirt,3
surprised,me after seeing my friend in new shirt: entra aee jatharlo lo konnav shirtuuu,3
neutral,principle different expressions while giving speech on republic day,4
angry,dad: enniii cheralu kontav already cupboard antha avee unnayi,2
angry,mom: naaaku aah saree kavalsindheee,2
happy,that one friend whenever you in kastalu money echi mari minguthadu,0
happy,his reaction:,0
happy,"when mardhal, said: ""nee shirt chaala baagundhi baagundhi""",0
disgust,me when someone sings a song,1
neutral,"that lady: veedu gelichaada, nenu gelichaana",4
neutral,"that lady: neeku 10 lakhs kaavali ante, naa kaalu pattuko, appudu isthaa",4
neutral,hello...!,4
neutral,"abba, poddhuney modalettaru",4
neutral,"when customer care calls, my reaction",4
heroism,me before going into relationship ,5
happy,em ledu bro parents pellichupulu start chesaru..,0
angry,ni anthu chusta,2
angry,reyy,2
angry,rey ninnu vadalra,2
neutral,me: edhi ee box aeena?,4
neutral,my friend: monna exam lo naa dantlo chusi rasav ani mam tho cheptha undu,4
neutral,my friend: eraa snacks box ivvuu,4
neutral,"my friend: yes, adhe ivvu thinipedatha",4
neutral,me: roju nuvve thinesthe nenem thinaliraaa,4
neutral,my friend: entra noru legusthundhi,4
neutral,me: mari nenem thinali,4
sad,ippudu chudu em ayyindho ,9
sad,enduku ra vadu vadu ani cheppina vinledu ,9
surprised,"most turning point of the film, ",3
neutral,bike midhe podham ,4
neutral,car lo podhama bike lo podhama ,4
angry,"idhi raa, pushpa gaadi range uu",2
angry,"hero: rey shikawath siruu, nenu syndicate member kaaka mundhu, ee pushpa gaadi range ento telusaa",2
wonder, kasta mature ga alochiddam,7
wonder,chinna pillala kakunda,7
wonder,chittilu vedham,7
heroism,me trying to do overaction infront of my ooru girls ,5
surprised,enti veella illu ila undhi,3
surprised,when i go to my new wife's house after marraige,3
surprised,"evadu kodithey dhimma tirigi mind block avuthundho, vaade pandu gaadu",3
surprised,"me secretly taking my friends phone and proposing that one girl in the group be like:
vidini elagaina edipinchali",3
surprised,veedu padukunnappude cheseyali,3
happy,when your parents start pellichupulu,0
wonder,antha telusthe inka degree enduku pass kale ra nenu ,7
wonder,milo ozone pora gurinchi evariki aina telusa,7
wonder,vidiki telusu anta,7
surprised,me seeing my friend after haircut,3
surprised,endhira ila unnav nuvvu,3
heroism,me thinking about my strength in dreams ,5
confused,me: ayina nenu thinte nuvvu thinattu kadhaa akka!,8
confused,me: naavi anukuni thinesa akka,8
confused,my sister: nenu fridge lo dachukunna chocolates ndhuku thinesav,8
angry,me: nekendhuraaa,2
angry,me: chestha aah matram,2
angry,my senior: raa antunav entraaa baa ekkuvayindhi neeku,2
angry,senior: rey veedini round up cheyandira andharu,2
angry,me: raa anee anta ippudu em chesthavra?,2
angry,my senior to me in college fight: eraa enti baa ekkuva chesthunav,2
neutral,"don't misunderstand me, it's my mannerism",4
